Time,Condition,Age,Cluster,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
-1144,Cane,9m,Occipital,27.9503095041861,12.7451685931826,15.6720444677862,21.1192908848711,18.0388629987949,16.8444103661027,24.7443261645808,22.4860337346026,26.4030030223694,21.7428436565478,18.058231822247,23.6529926429743,7.17272627339309,17.4756233706103,33.8656106020213,17.3047886119917,22.7636659722593
-1142,Cane,9m,Occipital,27.9612786431287,12.7382610196791,15.6281383085988,21.1708268742737,18.0545937604706,16.826220317279,24.6061385372773,22.5063159032648,26.4643715392045,21.7814661336115,18.2224963567146,23.5283108970267,7.15053972499812,17.5488830212212,33.9100649561292,17.2515328109139,22.6833393706209
-1140,Cane,9m,Occipital,27.9784689461886,12.7323325673964,15.5848985808932,21.2199317264373,18.0670175004221,16.8077918303496,24.4681735217231,22.5294034946394,26.5236581493838,21.8265429222328,18.3874419689928,23.4074439751508,7.12867833278664,17.6221991308072,33.9545915292554,17.2000342164713,22.6022980865337
-1138,Cane,9m,Occipital,28.0028702110728,12.727629339286,15.5424303766723,21.2667089223988,18.0761926174098,16.7892832091508,24.3306916443203,22.5534367303473,26.5810813730674,21.8749496374617,18.5526672105948,23.2906945013876,7.10703279652505,17.6953343362862,33.9991544042488,17.1511304521447,22.5201061672837
-1136,Cane,9m,Occipital,28.0343103935885,12.7241728618246,15.501226954669,21.3117104078417,18.0822513684895,16.7711959964123,24.1937978204434,22.5781995445542,26.6369138101047,21.925362219627,18.7179426750973,23.1787191117427,7.08555902446611,17.7682405330532,34.0440825439051,17.1063475720637,22.436681126064
-1134,Cane,9m,Occipital,28.0728362144697,12.7218732705126,15.4629519343323,21.3543148211149,18.0853859330389,16.7544403147111,24.0574118388085,22.6035511479173,26.691452208142,21.9771633345982,18.88311972337,23.0720733924701,7.06426628111719,17.8410926671537,34.0901108339943,17.0692209857778,22.3527748012287
-1132,Cane,9m,Occipital,28.1201909443794,12.7205978561535,15.4294902786715,21.3946109010015,18.085890658225,16.7394309500946,23.9213929067143,22.6293776306186,26.7450563595636,22.0299876917128,19.048119737296,22.9709879974984,7.04321555787234,17.9144339475171,34.1372690518182,17.0392844346797,22.2683508329772
-1130,Cane,9m,Occipital,28.173455528681,12.7200866556094,15.3991222610116,21.4329147630515,18.0841911111711,16.7254908305625,23.7856078038391,22.6555715806427,26.7988297139147,22.0835291947599,19.2128947447125,22.8779042962844,7.02248999120145,17.9891620263263,34.1841464700716,17.0137602072343,22.1833166339368
-1128,Cane,9m,Occipital,28.2328061455772,12.7199170540223,15.3721983284934,21.4696287485863,18.0808953060114,16.7120734921579,23.6499511370257,22.6820313734415,26.8548476462497,22.1375134824131,19.3774075850484,22.7914945880959,7.00214939001564,18.0657664685735,34.2313484537984,16.9917195288533,22.0984661033987
-1126,Cane,9m,Occipital,28.2983113068152,12.7195603186896,15.3474036307111,21.5051809747785,18.076813438526,16.6990577938512,23.5143522463259,22.7086642980599,26.9114462206372,22.1916808458711,19.541625871049,22.7119285769838,6.98222007827862,18.1438695562826,34.278244954495,16.972674986971,22.014426926506
