Time,Condition,Age,Cluster,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
1230,Grasp,12m,Occipital,18.6917778153606,17.6001077333977,14.396456786641,17.8355480885941,24.6764891304673,14.4462166877497,13.915801914866,5.84666054205857,17.0569228580283,20.9803357326179,15.0199826690511,21.8372871831532,19.1182947343284,19.4371251705817,15.1421045716333,36.7900207135364,21.5607973110982,18.6615623802496,11.0048126209826
1232,Grasp,12m,Occipital,18.6731558082273,17.5570651066762,14.3744483769567,17.7062662332617,24.620440433207,14.4715528354195,13.9121085739587,5.85809328857099,17.113798505579,21.0108201942118,15.0374182819696,21.8657328371127,19.0632720903779,19.479301451087,15.1957608899482,36.5883704187987,21.5039782613119,18.6679303505042,10.9996618385202
1234,Grasp,12m,Occipital,18.6550108435877,17.5126990250353,14.3528140287623,17.5806200245998,24.5649963347474,14.4979086449742,13.9101468116879,5.86934435968566,17.1689369165446,21.0382563996792,15.0558341117724,21.8922537147464,19.0069676754784,19.5226006603091,15.2546050932299,36.386217245034,21.4471312245399,18.6756583617782,10.9949515381394
1236,Grasp,12m,Occipital,18.6371519314921,17.4673957099165,14.3321160212621,17.4582393619365,24.5107199795056,14.5249459589364,13.9098966377319,5.88046341725021,17.2222134228189,21.0625209234203,15.075263085974,21.9167615388254,18.9494740484738,19.5671448161519,15.3191383719974,36.1840638153726,21.3907009815453,18.68431978186,10.9907309734288
1238,Grasp,12m,Occipital,18.6191752057055,17.4221305443779,14.3123243551591,17.3384854762799,24.4577140657902,14.5524672219769,13.9111825590754,5.89136906763821,17.2736149377545,21.0835351822404,15.0958036075451,21.9394145979491,18.8910223780414,19.6133654619244,15.3895044428041,35.9824087607758,21.3349834066229,18.6940279535147,10.9870427953967
1240,Grasp,12m,Occipital,18.6008601655929,17.3776946416186,14.2938734471944,17.2215152555576,24.4060712327835,14.5803522706218,13.9134102436437,5.90191802650583,17.3232164934788,21.1012559517559,15.1176841802395,21.9605610473166,18.8319590577832,19.6624124972406,15.4656769990831,35.7817490792351,21.2799940542442,18.7048736395217,10.9839267308532
1242,Grasp,12m,Occipital,18.5822424954977,17.334060804478,14.2774392435768,17.107050049992,24.3581850370407,14.6085437845538,13.9158286107324,5.91197121325165,17.3711477750416,21.1156575547436,15.1425464958462,21.9805244597073,18.7732320533299,19.7139039364396,15.547825692704,35.5825528236184,21.2257999962162,18.7163783187652,10.9814147976774
1244,Grasp,12m,Occipital,18.5635063885804,17.2912677947955,14.2625306133162,16.9942671889817,24.3123993260768,14.6370730001308,13.9178253439359,5.92141624633223,17.4175526631943,21.1267428676191,15.1704574696883,21.9993066344367,18.7158955382701,19.7671507110194,15.6357685482174,35.3852866674821,21.172715068258,18.7282559825476,10.9795536197419
1246,Grasp,12m,Occipital,18.5448517357759,17.2496367576496,14.2484158602455,16.8828800812347,24.2679493582554,14.6660852232057,13.9189518850835,5.93018024524828,17.4625339349802,21.1345312092058,15.2006633212788,22.0168292478935,18.659374311114,19.822167615891,15.7291767703929,35.190395154416,21.1215195484989,18.7403885186058,10.978401423197
1248,Grasp,12m,Occipital,18.5272904353443,17.2078880170317,14.2347476621043,16.7730068589704,24.2252407030856,14.6959686503868,13.9188791400015,5.93820838807837,17.5061731051827,21.13905640373,15.2334334139182,22.0331471098502,18.6034479523462,19.8789964930577,15.8281000649674,34.9983100747243,21.0733222840668,18.752730613388,10.9780203418988
1250,Grasp,12m,Occipital,18.5100809107917,17.1657884391288,14.2213923400556,16.6642207305232,24.1845070809849,14.7284092213133,13.9173656706867,5.94548205054868,17.5490926471197,21.1403713518735,15.2689004977178,22.048248461468,18.5474709349418,19.9376176563206,15.9326239210443,34.8094667592331,21.0285707959139,18.7652630455893,10.9784692949399
1252,Grasp,12m,Occipital,18.4933308390382,17.1232184880087,14.2083371581226,16.5563486059094,24.1462892372576,14.7628654184744,13.9142423858819,5.95199188346023,17.5913922462713,21.1385465956479,15.3069429783996,22.0619875035281,18.4908976418229,19.9978847746456,16.0422592197957,34.6243134594255,20.9868059732222,18.7779043615315,10.9797915423085
1254,Grasp,12m,Occipital,18.4772947942073,17.0801403237302,14.1956435196082,16.4494528514905,24.110675070562,14.7979893449389,13.9094060586052,5.95769916226747,17.632026363088,21.1336561608566,15.3473333734685,22.0742643953614,18.4334942944144,20.0601532124672,16.15657450697,34.4433700123219,20.9472518071738,18.7904951528296,10.981997572785
1256,Grasp,12m,Occipital,18.4621966998149,17.0365910549522,14.1834382706488,16.3436901850052,24.0779132587779,14.8335044609339,13.9028559796275,5.96268076338859,17.6708546251072,21.1257934798313,15.3900505312899,22.0855237560829,18.3756021346008,20.1242603573384,16.2753546969697,34.2724062680829,20.9096674015314,18.8028954920204,10.9850758815958
1258,Grasp,12m,Occipital,18.4480065754171,16.9927063849874,14.17189443326,16.2392863121492,24.0466730620412,14.8692673940081,13.8948169608236,5.96692332615072,17.7081240461363,21.115048120893,15.4355998004458,22.0959818467818,18.3177759490285,20.1893250362819,16.3984994917936,34.1091223544749,20.8739957442813,18.8150227210419,10.9890064613482
1260,Grasp,12m,Occipital,18.4348984118093,16.9491596634088,14.161231128972,16.1365217573447,24.0171370233427,14.9053975586296,13.886073127913,5.97033576726333,17.7443992124683,21.1015189837694,15.4888582195699,22.1055119806443,18.2591785178141,20.2552377043911,16.5259257282208,33.9512465593082,20.8402172870387,18.8268651221417,10.9939939652647
1262,Grasp,12m,Occipital,18.4230859107446,16.9057467042017,14.1517020456341,16.0356938364205,23.9899579964246,14.9414743112904,13.8772716597311,5.97292308117948,17.7790851434578,21.0853040557135,15.5447305036618,22.1143418824721,18.1992061501339,20.3219098150178,16.6575625806568,33.7988700171435,20.8082902182964,18.8384582570962,11.0003747024451
1264,Grasp,12m,Occipital,18.4122607851646,16.8625890875742,14.1435925947136,15.9371124492437,23.9644998989843,14.9772432181679,13.8676245031262,5.97473112966544,17.8121360489583,21.0665244139652,15.6029800669873,22.1223535664063,18.137867499743,20.3892779383454,16.7932555284045,33.6518505389642,20.778169319229,18.8498845042172,11.0079067176753
1266,Grasp,12m,Occipital,18.4020979329494,16.8201785378984,14.1371828124706,15.8410046029324,23.9407558559054,15.0124984767999,13.8563800212722,5.97580855560983,17.8432365114304,21.0453072738061,15.6654077018559,22.1294015019461,18.075288776891,20.4570416984212,16.9325867581602,33.5098394618464,20.7499136592264,18.8612366925411,11.0169084275752
1268,Grasp,12m,Occipital,18.392818541414,16.7792693302361,14.1327494727881,15.7475421618044,23.9188186811842,15.0471610951901,13.8433455454029,5.97613911433004,17.8719788075483,21.0218733932636,15.7312143757073,22.1356272933749,18.011141013733,20.5255483952098,17.0751962931492,33.3724782865902,20.7238468151618,18.8726437912555,11.0273710710178
1270,Grasp,12m,Occipital,18.3846867140822,16.7403293546125,14.1305926176868,15.6569735434068,23.8988647431655,15.0812669255464,13.828474307795,5.97566418902825,17.8984533319502,20.9967420883115,15.7997363559994,22.141493608254,17.9453181607142,20.5938475029709,17.2208076939127,33.2394768210012,20.7003758902596,18.8842645385524,11.0388728849201
1272,Grasp,12m,Occipital,18.3777029463102,16.7043834978152,14.1309423440819,15.5696626372905,23.8811185460413,15.1149599432188,13.8117741708533,5.97437224312125,17.9241351564152,20.9699994162019,15.871028965981,22.1474910478749,17.87782275034,20.6610324667637,17.3692024567726,33.1106237095221,20.6798593054082,18.8962911515972,11.0509730676804
1274,Grasp,12m,Occipital,18.3716511355128,16.6711602885164,14.133615528113,15.486169220459,23.8658772643334,15.1484824967567,13.7932877240362,5.9723402895364,17.947317798086,20.9414168583149,15.9451558526865,22.1536464868915,17.8087565515215,20.7267954933482,17.5202098801505,32.9856849313251,20.6609401478239,18.9089184548899,11.0634651678296
