Time,Condition,Age,ChannelPair,TrialNum,connect_overtime_LA_EEG_Pilot02_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot03_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot04_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot05_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot06_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot07_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot08_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot09_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot10_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot11_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot12_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot13_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot15_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot17_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot18_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot20_CTS_MTH_chanpair_9m.mat,connect_overtime_LA_EEG_Pilot21_CTS_MTH_chanpair_9m.mat
90,grasp,9m,OC,Trial4,0.52877079871452,0.438272004168761,0.478805239155678,0.373424803837714,0.402442372934028,0.623249100440302,0.395010885415814,0.874858163761048,0.719410848453292,0.524134333201275,NaN,0.502478471171902,0.454807994092736,0.4904452803437,0.504192282136261,0.388855139170379,0.728485791746197
100,grasp,9m,OC,Trial4,0.517585749411698,0.435157304613608,0.465729450816594,0.37488201634634,0.397407649129083,0.613131226237424,0.403257949176308,0.87613813416739,0.72230600317546,0.532054220596934,NaN,0.495909593224774,0.459886694958503,0.482898901866574,0.503855509279107,0.411635796651223,0.735879160912032
110,grasp,9m,OC,Trial4,0.505186618015887,0.43050601093654,0.453376382050862,0.381438532425786,0.396108626272655,0.602301879098811,0.410402503035022,0.877972820728742,0.725048351964198,0.540414064756789,NaN,0.48903500257477,0.464530839913285,0.484635185378754,0.507103482399011,0.439514221105788,0.74212730722732
120,grasp,9m,OC,Trial4,0.493324864952787,0.425328599721794,0.443216969328864,0.391735446827798,0.397648097381556,0.591282147970871,0.41631903284971,0.880427936702283,0.72752148866302,0.551807308516941,NaN,0.482286267532819,0.469552917148238,0.491322809149165,0.513433938789069,0.470338379606941,0.747992402274691
130,grasp,9m,OC,Trial4,0.483448026788383,0.419972578136025,0.437142111411549,0.404571998613339,0.400150555676339,0.580930700058067,0.420669903996261,0.883592206561807,0.729552301110558,0.565285292919615,NaN,0.476116364141128,0.476412484946051,0.501122204195873,0.522042042227973,0.501708368304327,0.75449560845211
140,grasp,9m,OC,Trial4,0.476219823691684,0.414559819215588,0.433629276272167,0.419170061157609,0.404184609978143,0.572412901855719,0.423395100879035,0.88751197800845,0.730885728767631,0.578868973036208,NaN,0.470977071274774,0.48551084492112,0.514332615021851,0.532039209016032,0.533081278657424,0.761348516051487
150,grasp,9m,OC,Trial4,0.471375849868864,0.409175978911561,0.43175509618409,0.437081728834461,0.411171817510591,0.566766021406614,0.424642334433825,0.892156833164384,0.731271315585099,0.594957696038425,NaN,0.467316320941227,0.49611167953707,0.528620949179952,0.542809656769311,0.561087142031972,0.768183735523117
160,grasp,9m,OC,Trial4,0.4680677341846,0.404885303168384,0.431718665606743,0.455432440273637,0.421180629605956,0.564167708969285,0.424494265909857,0.897430758947845,0.730618097512909,0.612425774194565,NaN,0.465619143482988,0.507206394025969,0.541684172721391,0.553782417829956,0.586551666151326,0.774469081682454
170,grasp,9m,OC,Trial4,0.465628667918194,0.401405234014689,0.433687976617875,0.471707869730205,0.434043389520681,0.564705387934516,0.423110757920956,0.903183500515558,0.728947516776752,0.629752870518848,NaN,0.466504229611355,0.518185935598986,0.551346153486463,0.564178618607683,0.607776456070101,0.779956453841739
180,grasp,9m,OC,Trial4,0.464015705722392,0.403122124747144,0.436634205798159,0.483519254702109,0.449307135973126,0.568118420651352,0.420872175792713,0.909174561086873,0.72628616222526,0.645979102397189,NaN,0.47072992601231,0.528602986087966,0.559258472524893,0.573107576782386,0.626253867089681,0.784778838901194
