Time,Condition,Age,ChannelPair,connect_overtime_LA_EEG_12_P04_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P05_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P06_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P07_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P08_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P10_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P11_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P16_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P17_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P19_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P20_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P21_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P22_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P23_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P24_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P25_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P26_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P27_CTS_MTH_chanpair_12m.mat,connect_overtime_LA_EEG_12_P28_CTS_MTH_chanpair_12m.mat
-900,cane,12m,OC,0.536356789198297,0.544591908884681,0.470419313425795,0.535282057438538,0.455438929577756,0.624150792204265,0.487838347910528,0.543811860537032,0.630992703348105,0.492651515597134,0.667242597588384,0.544988389885129,0.446665577050775,0.464400433931116,0.553590544330838,0.425497628719452,0.593421760947398,0.449588385201481,0.539452649946957
-890,cane,12m,OC,0.534016764814645,0.546218669734014,0.470196240836515,0.52990679451231,0.455886560569257,0.627012086657825,0.494581192986346,0.54327678620294,0.633408191611221,0.492906436878884,0.671649076143673,0.546463330706936,0.445358162473406,0.463682978750929,0.556702607045916,0.429992237719991,0.590226632603164,0.448750376447961,0.537783717589943
-880,cane,12m,OC,0.532243778879434,0.547588177455715,0.469313639935558,0.523565790973862,0.457101018103548,0.629710228320289,0.502108475232047,0.542298527024622,0.635733997686092,0.493411413581737,0.676260496585145,0.548147666386956,0.443988157072582,0.463193026410388,0.559878272613232,0.435268087222302,0.586988924885175,0.44805294406384,0.536059994360787
-870,cane,12m,OC,0.530959986806989,0.548914688085928,0.467337278424175,0.516637131515217,0.45784477220147,0.632929703817261,0.510915203761253,0.540945154190033,0.63732043316579,0.494358502705472,0.6809977174448,0.549885333098321,0.442920600326179,0.462812244007626,0.563030033330734,0.44134864232658,0.58440950933863,0.447707148499875,0.534727070530614
-860,cane,12m,OC,0.530026393267413,0.549836873830114,0.464722773505574,0.510125327931498,0.45881048314904,0.636261211949782,0.520338878615505,0.539618733218757,0.637696167877561,0.495229603044685,0.68564696992102,0.551650559222934,0.44274457927238,0.462730249762991,0.56592225862749,0.44765959196839,0.583012622486026,0.44783458785469,0.534088517311704
-850,cane,12m,OC,0.529182576525275,0.550356371684021,0.461546050276837,0.50394936153121,0.460615507159464,0.639299966075433,0.529521545693492,0.538663760438527,0.637161634265022,0.495656361307444,0.69030105508022,0.553632474605009,0.442923282834845,0.462863441784531,0.56818217824464,0.453816320378837,0.581856693975712,0.448461383003078,0.534987938333753
-840,cane,12m,OC,0.528384176797198,0.550549737000495,0.457837863089504,0.498093339562637,0.462897292262432,0.642033188623039,0.538104142579801,0.538105440692614,0.63587853870044,0.495878298984573,0.695049952043387,0.555833061547256,0.443221163772561,0.463037569034635,0.569330513743316,0.459737388258566,0.581128030618139,0.449734308587144,0.537160913851219
-830,cane,12m,OC,0.527654089551466,0.55031271576955,0.45399489816409,0.492578049996283,0.465245140864647,0.644512988470187,0.545717171131579,0.537812354473599,0.633838161507664,0.495627521244144,0.699421017730315,0.55806473333916,0.443677291863139,0.46320063216262,0.569910769598518,0.465297770001189,0.580971677431508,0.451126569244816,0.540128983141502
-820,cane,12m,OC,0.527024628117725,0.549733624027654,0.450042550553672,0.487734781402594,0.467570100890703,0.646777186661051,0.551483209529171,0.537972176112089,0.630936701685363,0.495150410631624,0.703240819100863,0.560305097741879,0.444109057939759,0.463312644253805,0.569815792763421,0.470436793496091,0.581936248671499,0.452768830288626,0.543328441199857
-810,cane,12m,OC,0.526579254947703,0.54898419818152,0.446439204060316,0.483844494940548,0.469709430705092,0.648775317386963,0.555962574091636,0.538312800782201,0.627249526252139,0.494303303414777,0.706109227245456,0.562552480635245,0.444349086651196,0.46348803990061,0.569243912802468,0.475189489158471,0.583524233895779,0.454294761865951,0.546800129091638
